cid,text,time,author,channel,votes,photo,heart
Ugw3iSG8sZznWo7I9494AaABAg,Un groupe français ?,4 months ago,lesnake59,UCSf2Ji66BgLkVVrtUAJyKhw,0,https://yt3.ggpht.com/ytc/AKedOLRGX2TG2tEYakNV_jgF9yCKYC9NsymuvG5jWTp2Fw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvMf9p6Wxsc-02i8d4AaABAg,Solitude,4 months ago,Cornelius,UCY3lNeOm-JB3iwndAzxQbBQ,1,https://yt3.ggpht.com/ytc/AKedOLSX4ZvlBJAQk82jdi0JajNuUACZrF5hqECpjPvY=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVy-KFUGhYGKBHlIx4AaABAg,feels like a techno set in the jungle,4 months ago,xnsesss,UCK7UR3DH34jHkl2up-t96Yw,0,https://yt3.ggpht.com/ytc/AKedOLQjGcVkC0tL4OT2FLKOO489mmcquYuO5SZK453F_Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdX9L0I96fW5Wrrxx4AaABAg,Me enamoré de esta canción lit,4 months ago,Victoria Cattaneo,UCbxR6BLBgcgM7TLcCGw1Trg,4,https://yt3.ggpht.com/ytc/AKedOLQWc7NdbYa8bvRpoXCLLYaLZaAwisLxdSjyzg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8sDkCGvc3wbK-w_x4AaABAg,"hummmmmmmmmmmmmmmmm mais que c'est bon !! les basses sont tellement puissantes, la voix tellement douce, les harmonies subtiles...superbe remix",4 months ago,isabelle israël,UCuawm83AQKrNO622ElG1kug,0,https://yt3.ggpht.com/ytc/AKedOLQ2HXRONv1jIo87nz6f8X8-ywC06xGUx5nhU-xZWA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHAzzXTSF1sd9pQqJ4AaABAg,Instagram travel reels got me here  🍂❤️❤️,4 months ago,Ruban,UCahdK3EI7Y7QRdFi3eFEXiA,0,https://yt3.ggpht.com/ytc/AKedOLRFGMKJrnQOsY_c2F3qvtTY6OukZmlunWoX6AM9gw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYTzZanIY-1TzVrtB4AaABAg,"This is my ""drugs"" of late... my medicine <3 
Danke",5 months ago,BoogieManSince1977,UC-AJitFQkl3Zwl-ExDnLXkw,0,https://yt3.ggpht.com/ytc/AKedOLRHffK9I0Ma2oFP7TMYIyxNxjn3B70w8SwPLKuDdg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyxxb_2yKUhbcICFF54AaABAg,Perturbadoramente hermosa,5 months ago,leidy leiton,UC7cIa0DtF8qa1XhahRz6VKg,0,https://yt3.ggpht.com/ytc/AKedOLQd0YdRjG4c2fBSrE2-JEMg1HbBWa57J5YYkj9YXg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxbtb4ECEBDpahlWQ14AaABAg,anyone else here from that amazing minecraft video on tiktok?,5 months ago,kalopsicc,UCPDi_bk-FTWLXylN53Vd_4A,0,https://yt3.ggpht.com/YyiRpiqss3FbsJY3_dvC75UXVRVxvGkkCNqj-AVDZGOL0FiX9_CEurPzyZqvzdAxPA006atlqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOpr3sNgLMawW47eh4AaABAg,feels like either you're an astronaut floating in space or you're in a dystopian/futuristic city to me,5 months ago,chrolo_ form,UCy1PGsOS_XfTmXbWPmQbkGQ,0,https://yt3.ggpht.com/pP5mO5ilmKPp1srt4g4szUj88-aHXn9uRS4hY7pR8_diSrBy-5IpWrgp0v9hv-Me04YtKeL5Sg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLvmFYNKxA8xFHuWN4AaABAg,RAW ORGAN + BASS = Goosebumps,5 months ago,Jose Mourinho,UCpyRJD6uvuxgcSGaFfGFuOQ,0,https://yt3.ggpht.com/ytc/AKedOLQOTw0WVN_B7YnRw4u9VK_kT1bKFbvejUVLAA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfvDJDNB_3VZYUedt4AaABAg,S O U. C H I L L  V I B E S,5 months ago,Pico Fumao YT,UCEDWeT7Nlp-ZaUvUi1e3ffQ,0,https://yt3.ggpht.com/7gifbypcmUlrkOGZpJ9elYxp7qwiZM1sddXg_LYFkl4XEf5b9byqBWpaSuGotb5hdwWPCG-r-w=s176-c-k-c0x00ffffff-no-rj,0.0
UgylPD-4mX6uqypCbvl4AaABAg,"It's raining here in Mumbai.... With thunderstorm and raindrops, this Synth mesmerizes overall experience ❣️",5 months ago,Gaurav Shelke,UCV2LzOj0qjO5J1e9RQFFTdQ,0,https://yt3.ggpht.com/ytc/AKedOLTEn4SxpsRWqowJc7vNNgCFbPXq-Fj7w6cuY8NfeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwR6mZQJulNEhgiPU14AaABAg.9RiMZYPfW9U9S3nKR8V_32,Yes,3 months ago,Platypus,UCWeVIyoc-JlySpONaSUnxIA,0,https://yt3.ggpht.com/ytc/AKedOLRP7SgTQCTu1AdRn-UeA5DRrPGcWmlA9dE-lSBJ3w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdX9L0I96fW5Wrrxx4AaABAg.9RDAufmaYf29RgIcztSMl_,See,4 months ago,Lautaro Milano,UCsnn-KAtsLagBKl4hdMPXpw,1,https://yt3.ggpht.com/p7dLSh76UpvMQST7vHO0AJ2LrfcqEGODGf1y34nCjOtx0ewEAyEwImoyxBZMJxfXe4YZsZyA7FY=s176-c-k-c0x00ffffff-no-rj,0.0
UgxD93IJ56GI8-PHfB94AaABAg,This song so peaceful it made me fall asleep,5 months ago,Leó,UCavpwSxLrZKZX547aTE_VGA,0,https://yt3.ggpht.com/ytc/AKedOLSuYc5weJbxyJvEq8ZCNi3MzACx67B65SlKiFoJuw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwC6CdGvrKHaZW7XFd4AaABAg,🤤❤️Amazing,6 months ago,Diego Alves,UC3M4OW8ieOkdh5j7A1P2ZEQ,1,https://yt3.ggpht.com/f-Cuknr_3d77DZeB2l1pedEwjmCqqASAXredAg4-Va8gKNgNiyxCtiegzls30IdEtCIMKj1kRQ=s176-c-k-c0x00ffffff-no-rj,0.0
